"","DayNeg8","DayNeg4","Day0","DayPos1","DayPos7","DayPos16","DayPos21","DayPos28"
"PPM1J",1.6825880922,1.5551919218,-0.4965736625,-0.5445695824,-0.5287309288,-0.5445695824,-0.5553686644,-0.5679675934
"PPM1K",-0.8899466808,-0.9277248162,-0.525666327,-0.5731421222,-0.3203593274,0.3090953709,1.1043637009,1.8233802018
"PPM1L",-1.1826371417,-1.2072608213,-0.821007095,-0.1802576695,0.3546896739,0.8184989108,1.4105623869,0.8074117559
"PPM1M",1.0892305353,0.9037239109,1.2163577733,0.4261497029,-0.8637605923,-0.9916106228,-0.9949135583,-0.785177149
"PPP1CA",0.2461035259,0.3361119652,1.6662858716,0.9912727429,-0.2675446692,-0.8692641459,-0.9312750488,-1.1716902417
"PPP1CC",1.0025202612,0.2025184107,1.3474093161,0.8408181494,-0.2351333433,-1.1763306826,-1.1105694002,-0.8712327113
"PPP1R12A",0.0219790205,-0.1163673135,1.9689324364,0.9521462391,-0.3283793341,-0.9203083159,-0.826760314,-0.7512424184
"PPP1R12B",-1.537954939,-1.2635885028,-0.5570025105,0.1213274011,1.0662864959,0.7260291736,0.6719086604,0.7729942212
"PPP1R12C",-0.6466335662,-1.2509153399,0.215002851,0.6474761366,0.2268155207,-0.8619399661,-0.2517477651,1.921942129
"PPP1R13B",-0.9343022211,-1.09971807,-0.9725654669,-0.6609204914,1.2556412505,0.8889316898,0.826668693,0.6962646161
"PPP1R13L",2.1402500874,0.7212430697,0.0675165937,-0.3003153047,-0.5128873845,-0.8163625178,-0.773437538,-0.5260070059
"PPP1R14A",1.901714292,0.126840518,1.1382338717,-0.4396370094,-0.5694649062,-0.6803291777,-0.7313850922,-0.7459724963
"PPP1R14B",0.1744080048,0.0935418065,1.2948243682,1.4756397053,0.0141443549,-0.9994501066,-1.0232364918,-1.0298716414
"PPP1R14C",-1.0522312634,-1.1764783036,-0.7913100916,-0.249836392,1.3057738994,1.3140752495,0.6225135868,0.0274933148
"PPP1R16A",-1.2038321918,-1.3999142318,0.6239354267,0.3523153076,1.7174538337,-0.02880147,-0.2808376428,0.2196809684
"PPP1R16B",-1.2731976051,-1.0927793142,0.0855328737,-0.8460217672,-0.0568967421,1.1630446406,1.1904090792,0.829908835
"PPP1R1B",2.2840246437,0.5312291806,-0.2756131755,-0.7625008042,-0.470368227,-0.2617021004,-0.5851345966,-0.4599349206
"PPP1R3B",-0.0125343534,-0.0973201375,0.4256473818,2.2563660188,-0.428292645,-0.6793445261,-0.7503279732,-0.7141937653
"PPP1R3C",-0.8843490026,-0.8673296455,-0.8363853599,-0.4341096469,0.1563073227,0.1507373513,0.7077344924,2.0073944884
"PPP1R3D",-1.1388033468,-1.136405014,-0.8198250885,0.5898129842,0.5707282512,1.6632707568,0.4980587683,-0.2268373112
"PPP1R3F",-1.0290903046,-0.9956525999,-0.6526837828,-0.5057049952,0.1627939398,0.3681787573,0.7834542645,1.8687047209
"PPP1R9A",-1.1619555418,-1.0197728841,-0.8795184669,-0.5309370337,0.6632566221,0.7298179991,0.8132932434,1.3858160621
"PPP1R9B",-1.3269116074,-1.4089992845,-0.6582836966,0.1943156789,0.4232227211,0.7753249364,1.0039041075,0.9974271445
"PPP2CA",-1.0370187961,-1.6644386619,-0.4949077964,-0.1567995016,0.7960125456,0.6703612274,1.0475729661,0.8392180168
"PPP2R1B",0.7994235139,0.0409012492,1.4500907232,0.8764795631,0.0248649218,-0.8835858985,-1.0072988835,-1.3008751893
"PPP2R2A",2.1827307531,-0.1878496155,0.2604813356,0.2039525353,0.0106483568,-0.9528255595,-0.6318638845,-0.8852739213
"PPP2R2B",-1.0091739312,-1.0065634053,-0.689931881,-0.838521329,1.5122555286,0.869836271,0.7688063937,0.3932923532
"PPP2R2C",-0.9819742615,-1.0276993502,-0.9841334677,-0.6808552546,0.5836903069,0.9117674872,1.0672695921,1.1119349478
"PPP2R5A",1.5588855599,0.9674324878,0.8144903254,0.0800275541,-0.6962741546,-0.8859394103,-0.8734916418,-0.9651307206
"PPP2R5B",-1.3356113722,-1.3071966201,-0.7903239117,0.1488475645,0.9910154427,0.9852480796,0.8157620093,0.4922588079
"PPP2R5E",-1.482898304,-1.5267929899,-0.2035202154,0.24292709,0.7655838207,0.417160764,0.8173149725,0.9702248621
"PPP3CC",-1.1277456483,-1.2296720988,-0.087604415,-0.441233302,1.8090753891,0.6363237921,0.5660406838,-0.1251844009
"PPP3R1",-0.9725556425,-1.2160254193,-0.8685106167,-0.5598850958,0.5259671487,1.0079763822,1.1922881621,0.8907450814
"PPP3R2",-0.9559390566,-1.0455583431,-0.5675888148,-0.9559390566,1.4637816804,0.6572081014,1.0156852476,0.3883502417
"PPP4R1",0.1873037505,-0.0391974082,1.0972021088,1.6609673491,0.082732898,-0.8939978316,-1.054707696,-1.0403031706
"PPP5C",1.2325685129,-1.026936686,-1.0690573418,-1.296789232,1.0430673771,0.1244160306,0.5483432322,0.444388107
"PPRC1",1.0214854831,1.753146,0.4592239295,-0.0252084107,-0.5319550929,-0.9042596456,-0.8934492899,-0.8789829736
"PPT1",-1.4956841991,-1.3542980293,0.915726677,-0.3081015931,0.2588191544,0.2113572841,0.4902670328,1.2819136733
"PPT2",-0.9474047015,-0.9237456156,1.887289348,1.1044408392,-0.119095693,-0.6152895983,-0.2011446073,-0.1850499714
"PPTC7",-0.7044361309,-0.9443310625,-0.5621323941,-0.391415089,-0.5403305573,0.078294583,1.2586790973,1.8056715534
"PPWD1",1.8182400707,1.0784988189,0.3521069241,-0.2107432255,-0.5580292423,-0.849784754,-0.8154087269,-0.814879865
"PPYR1",2.2412867786,0.6097768397,-0.6954311115,-0.6954311115,-0.5975405151,-0.3895229979,-0.1447965071,-0.3283413752
"PQLC1",-0.859841204,-1.3798146528,-0.778618097,0.3672308822,1.8426872283,0.249809157,0.2493406748,0.3092060114
"PRAF2",-1.0607417602,-1.2999659629,-0.4602307295,-0.5294115819,0.1027768481,0.7688838891,1.3371470882,1.1415422091
"PRAP1",-0.8976910125,-0.5187185534,1.7551162013,-0.6134616682,-0.4429240616,-0.8976910125,0.5234557092,1.0919143978
"PRC1",1.3717634484,1.2020830455,0.972677907,-0.3509501652,-0.6033972166,-0.855797837,-0.8661167752,-0.870262407
"PRCP",0.6334103458,0.3780127931,1.7629111805,0.5456340234,-0.3726604151,-1.0496256966,-1.0164300608,-0.8812521704
"PRDM1",0.9212337333,2.0582689671,0.0728853357,-0.5711498651,-0.4386861311,-0.6698805985,-0.6904495013,-0.6822219402
"PRDM10",0.2108820932,-0.1051158294,0.5363788721,1.8061816939,0.577057922,-1.0739370538,-0.9305901631,-1.020857535
"PRDM13",-0.4673690379,-0.4635775127,2.3601006205,0.3997750658,-0.4375275047,-0.4633544819,-0.4653617599,-0.4626853892
"PRDM14",1.119931788,2.0216983528,-0.4313927782,-0.4983723581,-0.5266034206,-0.5614770862,-0.5614770862,-0.5623074115
"PRDM15",-0.339456239,-0.0511762778,0.4811438585,2.1357555141,0.1367360333,-1.1594346446,-0.6328141417,-0.5707541029
"PRDM16",-0.3872332536,-0.5915516589,2.0667856638,0.8781918238,0.1082955083,-0.6089683054,-0.7121594191,-0.7533603589
"PRDM2",-0.1895811568,-0.1325263249,1.5611810791,1.3941240758,0.1020878137,-1.0433961605,-0.9787701912,-0.7131191353
"PRDM4",0.1003505721,-0.5343270612,1.1641065163,1.7021379892,0.2289259099,-0.8301496697,-0.7849664744,-1.0460777822
"PRDM5",1.0320136941,2.0337257202,-0.1736568716,-0.3136103991,-0.5661242579,-0.6666020683,-0.676637418,-0.6691083994
"PRDM8",-0.6428577832,-0.6430326668,2.2939351753,0.5501249469,-0.3789919505,-0.4062297274,-0.4097658746,-0.3631821198
"PRDX1",2.2088159304,0.6733074494,-0.0307691973,-0.4796807758,-0.4456242998,-0.6201194696,-0.6318272728,-0.6741023647
"PRDX3",-0.9646306149,-1.6811445103,1.5374490695,-0.3487943726,0.3014495782,0.0326390371,0.6943623874,0.4286694256
"PRDX4",0.5880929813,0.1310497667,1.9442848634,0.508020971,-0.5440359161,-0.8435686562,-0.8942442042,-0.8895998057
"PRDX5",-0.9747588116,-1.129844999,-0.7885548058,-0.4589435257,0.1790004005,0.482875722,1.1763238343,1.5139021852
"PRDX6",2.0044907936,-0.0031834711,0.9797203558,-0.3239264913,-0.345486809,-0.8452749242,-0.7975888506,-0.6687506032
"PRELID1",1.4627871083,-0.4511647721,1.2486668062,0.5549665551,0.0653462958,-0.8480666557,-1.0314402404,-1.0010950972
"PRELP",-0.8346868332,-0.8381122996,-0.8381122996,-0.6928725225,1.8145689124,0.2237822971,0.1374605428,1.0279722026
"PREP",-0.0989321711,-0.9645013067,1.1728658673,0.8032459403,1.2717504314,-0.2528422961,-0.4696381414,-1.4619483237
"PREPL",-1.0126433346,-1.0316652852,-0.9299626715,-0.7527462244,0.9657852117,0.88839091,0.9752526437,0.8975887502
"PRICKLE1",-1.4690428555,-1.3078180013,0.3942689936,1.0845326218,1.3402113679,0.0058643983,0.0114348031,-0.0594513279
"PRICKLE2",-1.3003767021,-0.9670610429,-0.9911018418,-0.2936682499,0.6812402357,0.7092838276,1.1098185621,1.0518652113
"PRIM1",1.7779707204,0.5675370561,0.9512507181,-0.2085171883,-0.4020339248,-0.9129970575,-0.9093222366,-0.8638880874
"PRIMA1",-1.3945000498,-1.5295594045,1.033694731,-0.4203485342,0.7007705481,0.6488905143,0.2606954457,0.7003567492
"PRKAA1",2.0133859842,-0.1894225743,0.2406402611,0.49362279,0.1607350145,-0.9931109746,-1.0947006208,-0.6311498801
"PRKACA",-1.2102866535,-1.1929066132,-0.632544444,-0.3758522008,0.1946486122,0.8470423153,1.245046557,1.1248524271
"PRKACB",-1.065899139,-1.0454248574,-0.8442891614,-0.6320668723,0.4419503511,0.7512625661,1.0704241708,1.3240429421
"PRKAG2",-0.9245077616,-1.2144331108,-0.434471675,-0.2805700345,2.0174684207,0.5075971745,0.266990258,0.0619267288
"PRKAG3",2.3684676927,-0.083785311,0.2431817562,-0.3290106113,-0.4761457915,-0.5742359117,-0.5742359117,-0.5742359117
"PRKAR1A",-1.2486009965,-1.3342608018,-0.5898831491,-0.0942205307,0.3193069985,0.5494346345,1.0888172177,1.3094066274
"PRKAR2A",-1.1256592932,-1.4923203678,0.1784937953,0.2105779819,1.6728024836,0.6361304724,0.2943045445,-0.3743296167
"PRKAR2B",-0.965139762,-0.9616329626,-0.3987865937,-0.3727136417,2.0831858906,0.6614380762,0.1606492607,-0.2070002675
"PRKCD",0.7822689708,0.5481072323,1.2155420839,0.8988234173,-0.0739079629,-1.0881333192,-1.2019740935,-1.0807263286
"PRKCDBP",0.7432228474,-0.2100088607,0.290437786,2.0479587478,-0.6866247147,-0.525766864,-0.8474825654,-0.8117363764
"PRKCE",-1.2721597146,-1.2354600177,-0.5242369621,-0.5683221174,0.8462287227,0.9749058257,0.9542914068,0.8247528566
"PRKCH",0.8086071821,-0.9795650993,0.4204853845,-0.2711716703,1.7131969055,-0.4457162227,0.160185761,-1.4060222408
"PRKCI",2.2865644221,0.4998273897,-0.1845366545,-0.6550666471,-0.2326057022,-0.6317290809,-0.4422582959,-0.6401954313
